User_ID,Age,Gender,Notification_Count,Daily_Screen_Time_Hours,Number_of_Apps_Used,Social_Media_Usage_Hours,Gaming_App_Usage_Hours,Physical_Activity_Hours_Week,Night_Time_Usage_Hours,Sleep_Hours,Digital_Wellbeing_Score,Awareness_Level
29,45,Male,63,5.1,8,0.07,3.25,7.6,7.6,8.24,79.66,High
30,33,Female,65,12.22,14,4.19,2.47,9,9,8.05,57.26,Medium
31,32,Female,114,12.01,17,4.28,2.2,0.8,0.8,6.37,34.08,Low
32,20,Male,26,8.07,27,1.53,0.27,3.9,3.9,9.37,82.23,High
33,54,Female,158,11.5,10,3.52,4.55,1,1,7.16,24.42,Low
34,24,Female,106,8.33,6,1.5,3.25,0.2,0.2,6.55,49.97,Medium
35,38,Female,85,12.37,17,3.44,1.32,6.6,6.6,7.3,35.38,Low
36,26,Male,78,8.59,22,4.45,2.2,6,6,6.23,44.86,Low
37,56,Male,87,8.16,27,4.09,0.34,1.6,1.6,8.47,81.44,High
38,35,Male,93,9.37,19,2.42,4.51,2.3,2.3,5.53,41.67,Low
39,21,Female,96,10.31,15,3.33,0.33,0.2,0.2,7.21,77.78,High
40,42,Female,93,6.33,20,1.56,3.4,8.3,8.3,8.11,60.43,Medium
41,31,Male,82,13.17,4,4.25,1.5,9.7,9.7,7.12,21.68,Low
42,26,Female,75,5.01,15,0.4,3.46,1.4,1.4,8.14,73.62,High
43,43,Female,76,7.4,15,3.48,3.17,2.3,2.3,7.49,51.19,Medium
44,19,Female,75,10.26,24,3.57,3.57,8.7,8.7,7.12,39.17,Low
45,37,Female,108,12.5,17,3.02,3.1,9.3,9.3,5.44,31.07,Low
46,45,Female,94,9.33,22,0.55,4.56,4.2,4.2,6.52,51.07,Medium
47,24,Male,20,7.04,29,4.05,0.22,0.5,0.5,7.45,71.37,High
48,25,Female,96,9.56,12,0.04,1.47,0.4,0.4,8.31,56.83,Medium
49,52,Male,84,5.06,5,3.04,1.21,5.7,5.7,8.12,60.44,Medium
50,31,Female,79,10.32,21,1.53,4.16,3.9,3.9,5.54,44.07,Low
51,34,Male,70,13.23,5,1.46,1.04,0.3,0.3,7.17,35.12,Low
52,53,Female,108,11,24,2.22,3.43,5.8,5.8,7.07,45.7,Medium
53,57,Male,103,12.59,16,2.48,3.1,0.1,0.1,6.07,32.48,Low
54,21,Female,60,2.12,10,0.08,1.29,7.9,7.9,9.2,86.49,High
55,19,Male,90,10.54,29,0.34,1.14,3.1,3.1,8.14,61.92,Medium
56,23,Female,55,11.41,25,2.19,1.26,0.4,0.4,7.53,48.51,Medium
57,59,Male,45,9.07,6,3.57,2.34,5.9,5.9,8,65.71,Medium
58,21,Female,64,12.16,29,4.48,1.32,4,4,6.43,38.08,Low
59,46,Male,101,7.14,22,0.58,0.19,9.7,9.7,8.16,84.06,High
60,35,Male,103,9.28,13,1.41,4.15,5.4,5.4,8.29,44.22,Low
61,43,Female,92,11.03,28,0.34,4.33,2.8,2.8,6.46,49.58,Medium
62,51,Female,98,9.09,13,0.49,1.01,7.1,7.1,7.39,58.64,Medium
63,27,Male,92,5.26,29,3.17,1.34,2.7,2.7,7.23,78.72,High
64,53,Female,63,8.16,13,3.16,0.39,9,9,6.32,52.81,Medium
65,31,Male,90,8.09,4,0.23,3.55,3.7,3.7,8.34,50.7,Medium
66,48,Male,100,12.16,19,1.02,4.27,5.5,5.5,8.16,38.07,Low
67,32,Male,98,6.59,11,0.31,0.46,0.5,0.5,7.45,69.24,Medium
68,25,Female,109,12.09,4,4.34,0.38,4.3,4.3,8.52,54.07,Medium
69,31,Male,97,10.23,26,4.37,3.05,8.3,8.3,7.25,38.61,Low
70,40,Male,88,11.36,17,0.12,3.08,8.1,8.1,7.08,66.96,Medium
71,57,Female,106,9.33,18,1.55,0.19,2.2,2.2,7.39,58.51,Medium
72,38,Female,79,9.56,27,4.46,3.59,2.3,2.3,8.37,41.38,Low
73,33,Female,57,12.52,6,4.24,1,8.2,8.2,6.59,26.72,Low
74,35,Female,75,8.01,10,2.08,1.07,9.3,9.3,8.55,54.18,Medium
75,41,Male,61,7.12,11,0.03,3.54,1,1,5.34,58.79,Medium
76,43,Male,63,7.24,28,0.13,4.22,4.5,4.5,9.19,82.36,High
77,42,Male,76,8.03,28,2.36,2.02,3.4,3.4,8.21,79.94,High
78,58,Male,60,6.11,7,1.33,4.03,8.7,8.7,8.14,63.09,Medium
79,46,Female,72,6.25,18,0.1,2.57,0.8,0.8,8.11,79.95,High
80,32,Male,32,9.5,15,2.4,3.24,2.1,2.1,5.48,43.18,Low
81,18,Male,85,10.46,9,0.55,2.46,7.5,7.5,7.16,46.72,Medium
82,42,Female,80,9.53,28,3.02,4.37,0.5,0.5,8.05,50.95,Medium
83,24,Male,59,11.22,22,1.58,4.14,4.9,4.9,8,41.15,Low
84,26,Male,96,13.54,19,0.27,0.2,4.4,4.4,6.05,48.94,Medium
85,41,Male,103,11.15,5,2.28,4.34,3.3,3.3,6.18,28.94,Low
86,18,Male,39,10.3,7,1.08,4.56,3.9,3.9,6.55,37.44,Low
87,25,Male,60,8.29,21,4.02,3.52,5.3,5.3,8.17,47.45,Medium
88,41,Male,60,6.53,14,2.24,1.52,1.6,1.6,8.18,59.61,Medium
89,28,Female,56,11.18,29,1.33,4.45,5.7,5.7,8.15,78.13,High
90,34,Female,100,8.37,9,3.11,4.51,8.1,8.1,8,45.64,Medium
91,25,Male,75,12.03,11,1.41,1.13,7.6,7.6,7.17,42.58,Low
92,52,Male,73,11.39,8,4.08,4.35,1.5,1.5,7.57,22.06,Low
93,52,Female,29,8.23,28,1.14,0.11,1.5,1.5,7.48,88.81,High
94,50,Male,95,7.55,19,2.39,0.16,2.7,2.7,7.11,62.14,Medium
95,22,Male,49,11.24,18,0.24,2.38,3.6,3.6,6.5,50.12,Medium
96,59,Male,81,7.03,25,2.04,2.08,4.1,4.1,7.18,84.65,High
97,56,Female,86,8.19,5,4.1,3.34,6.8,6.8,8.19,42.2,Low
98,58,Male,114,12.02,23,4.58,0.59,0.6,0.6,7.31,37.32,Low
99,45,Female,47,6.26,28,1.33,4.12,0.3,0.3,7.57,63.58,Medium
100,24,Male,20,2.28,6,1.23,0.14,3.9,3.9,8.37,79.57,High
101,26,Female,84,8.31,12,4.59,0.17,7,7,6.12,46.44,Medium
102,25,Female,125,12.49,7,4.14,0.5,1.9,1.9,6.29,29.35,Low
103,29,Male,110,8.57,23,0.37,2.32,6.4,6.4,7.34,62.17,Medium
104,51,Female,85,9.06,24,2.07,4.05,2.6,2.6,7.33,68.72,Medium
105,50,Male,67,6.18,12,1.58,3.58,8.9,8.9,7.44,56.14,Medium
106,40,Female,100,9.05,14,4.04,4.26,9,9,8.29,44.67,Low
107,41,Male,55,8.04,12,0.47,0.22,3,3,9.2,64.53,Medium
108,54,Male,91,10.17,15,1.25,2.58,2.3,2.3,7.11,47.61,Medium
109,52,Female,92,11.07,13,3.17,2.26,4.1,4.1,8.37,68.48,Medium
110,57,Male,106,12.41,24,0.05,2.33,2.4,2.4,6.58,49.92,Medium
111,39,Male,148,8.02,18,2.36,0.55,6.7,6.7,7.18,83.75,High
112,44,Female,89,8.13,10,2.59,3.45,8.3,8.3,8.1,54.86,Medium
113,52,Male,67,6.15,10,1.47,2.37,6.7,6.7,8.39,78.16,High
114,18,Male,79,6,29,1.12,3.13,8.2,8.2,9.5,69.04,Medium
115,52,Female,35,7.04,27,2.27,2.35,4,4,7.29,61.82,Medium
116,54,Female,62,11.09,10,0.04,0.52,1.6,1.6,8.03,66.69,Medium
117,31,Male,69,6.09,15,2.12,3.07,7.4,7.4,8.01,68.31,Medium
118,20,Male,66,9.25,29,4.16,0.34,3.6,3.6,6.18,53.16,Medium
119,18,Female,83,8.42,4,3.49,4.18,6.7,6.7,9.2,59.4,Medium
120,22,Female,59,10.33,14,0.39,3.29,2.7,2.7,7.55,47.87,Medium
121,43,Male,108,13.48,12,0.44,0.13,0.8,0.8,7.11,45,Medium
122,31,Female,80,7.04,14,1.31,4.58,9.9,9.9,7,59.03,Medium
123,56,Male,79,7.25,13,1.28,2.19,1.6,1.6,8.53,58.37,Medium
124,44,Male,71,12.14,17,2.5,0.48,9.9,9.9,6.56,67.36,Medium
125,26,Male,83,7.56,18,3.57,3.24,9.8,9.8,9.18,70.05,High
126,32,Male,100,6.08,19,0.02,1.39,7.9,7.9,9.34,73.59,High
127,32,Male,58,11.25,28,0.55,4.23,6.6,6.6,6.02,48.21,Medium
128,43,Female,63,8.56,4,1.39,4.13,5.8,5.8,7.16,42.3,Low
129,59,Female,72,8.33,20,3.33,4.25,8.7,8.7,8.21,64.53,Medium
130,30,Female,46,12.56,14,0.39,2.37,2.9,2.9,6.21,42.59,Low
131,49,Female,59,10.13,21,3.26,2.22,4.7,4.7,6.18,54.31,Medium
132,56,Male,68,11.46,28,1.12,3.21,6.2,6.2,7.24,48.26,Medium
133,49,Male,101,8.55,25,4.44,0.47,4.1,4.1,6.37,52.05,Medium
134,21,Male,86,11.06,20,4.32,2.56,4.3,4.3,8.04,44.32,Low
135,47,Male,84,7.57,19,1.05,2.18,3.3,3.3,7.4,80.21,High
136,54,Female,101,7.24,8,1.23,0.45,5.6,5.6,9.22,75.28,High
137,40,Male,76,13.16,27,2.18,2.5,8.5,8.5,6.3,39.29,Low
138,56,Male,89,12.22,17,1.15,4.02,2,2,8.15,69.92,Medium
139,32,Female,77,13.35,5,3.39,4.41,9.3,9.3,7.15,16.01,Low
140,46,Female,86,7,8,4.27,0.18,6.9,6.9,6.47,50.45,Medium
141,53,Female,65,4.15,5,3.32,0.08,8.2,8.2,8.37,71.25,High
142,30,Female,20,9.28,3,4.58,1.27,5.6,5.6,9.17,59.68,Medium
143,49,Male,76,6.52,15,1.58,4.19,7.8,7.8,7.11,66.21,Medium
144,24,Male,115,13.51,23,0.47,0.44,0.2,0.2,7.02,49.55,Medium
145,39,Female,103,7.21,28,3.4,3.06,8.2,8.2,8.19,58.68,Medium
146,45,Male,104,6.46,16,1.12,0.13,0.4,0.4,8.16,69.97,Medium
147,19,Male,110,7.58,15,3.42,3.08,8.9,8.9,7.08,53.88,Medium
148,59,Male,82,8.57,29,1.44,1.58,9.9,9.9,7.11,86.46,High
149,23,Female,84,7.13,6,0.24,3.59,2.9,2.9,8.25,55.1,Medium
150,45,Male,64,7.23,9,4.52,1.54,2.1,2.1,8.4,63.07,Medium
151,45,Female,72,11.27,24,0.41,3.56,7.7,7.7,7.01,48.73,Medium
152,37,Male,95,7.09,12,4.35,1.59,2.5,2.5,8.39,54.31,Medium
153,47,Male,110,8.19,9,4.26,3.18,8.7,8.7,7.19,48.45,Medium
154,28,Male,76,12.12,23,3.37,4.46,1,1,8,47.79,Medium
155,45,Female,68,8.13,17,3.59,0.51,1.3,1.3,8.23,60.61,Medium
156,42,Male,80,13.44,17,2.06,4.13,9.8,9.8,6.31,28.41,Low
157,56,Female,95,8.25,6,4.04,2.55,6.7,6.7,9.16,38.34,Low
158,50,Female,43,5.33,25,1.42,0.37,8.5,8.5,8.56,88.55,High
159,18,Female,22,8.58,25,2.44,2.52,3.2,3.2,6.26,53.88,Medium
160,44,Male,66,5.07,8,3.57,0.35,6.8,6.8,9.04,69.16,Medium
161,30,Male,49,7.1,26,2.56,3.39,5.9,5.9,7.5,77.12,High
162,58,Male,67,13.06,22,2.5,3.16,6,6,7.17,33.63,Low
163,20,Male,76,11.02,28,1.3,0.29,6.8,6.8,8.17,58.29,Medium
164,56,Female,68,13.46,7,2.22,2.08,5.8,5.8,6.22,28.87,Low
165,23,Female,116,9.48,22,4.41,4.32,4.3,4.3,8.19,43.39,Low
166,25,Female,88,7.45,14,1.09,4.55,2.8,2.8,8.11,51.54,Medium
167,44,Male,87,10.03,3,4.31,2.51,7.7,7.7,9.04,53.47,Medium
168,26,Female,95,8.41,10,3.42,4.24,2.3,2.3,9.35,51.62,Medium
169,54,Male,51,11.59,3,4.52,2.13,6.9,6.9,6.57,23.84,Low
170,50,Female,105,11.54,7,2.29,1.1,2.3,2.3,7.08,61.05,Medium
171,59,Male,78,11.17,24,3.38,4.52,6.3,6.3,6.11,33.64,Low
172,41,Male,96,10.57,8,0.3,2.34,7.5,7.5,6.26,47.21,Medium
173,32,Female,53,12.03,23,4.17,2.4,2.2,2.2,8.33,65.06,Medium
174,49,Female,41,7.34,5,0.35,2.58,0.6,0.6,8.07,56.52,Medium
175,49,Female,100,9.5,17,4.01,4.13,1.3,1.3,7.3,34.68,Low
176,41,Female,89,9.17,7,4.13,4.29,6.1,6.1,8.54,48.09,Medium
177,58,Male,57,11.24,26,1.12,2.4,8.5,8.5,7.22,50.56,Medium
178,29,Female,58,11.04,16,1.28,1.03,0.4,0.4,8.38,58.85,Medium
179,56,Female,108,10.15,20,3.11,2.58,7.3,7.3,8.18,67.4,Medium
180,19,Female,50,8.27,18,1.38,2.03,3.4,3.4,9.44,57.33,Medium
181,20,Male,121,14.09,8,4.01,1.27,4.8,4.8,7.29,22.13,Low
182,54,Male,57,12.02,27,0.31,3.07,9.3,9.3,7.46,84.85,High
183,34,Female,95,11.56,26,0.12,2.01,3.3,3.3,6.31,54.8,Medium
184,19,Male,71,12.21,16,4.45,1.4,4.7,4.7,8.41,64.13,Medium
185,19,Female,95,11.38,29,3.26,0.45,0.1,0.1,7.01,48.78,Medium
186,45,Male,66,10.21,26,4.48,1.21,0.8,0.8,7.54,44,Low
187,40,Male,75,8.01,10,1.4,4.4,2.6,2.6,8.24,60.35,Medium
188,54,Male,81,5.43,9,3.16,1.55,0.3,0.3,8.03,57.08,Medium
189,49,Male,54,11.24,10,2.39,0.54,6.3,6.3,6.14,42.7,Low
190,50,Female,98,8.19,15,3.3,2.15,4.3,4.3,6.21,51.41,Medium
191,18,Female,67,10.12,8,3.33,1.28,5.5,5.5,7.02,39.5,Low
192,36,Female,74,11.12,20,2.59,0.48,1.7,1.7,9.26,80.46,High
193,19,Male,55,12.24,4,2.23,1.47,3,3,7.24,33.65,Low
194,43,Female,20,10.03,10,1.44,2.29,6.6,6.6,6,45.62,Medium
195,49,Female,75,12.09,13,3.34,2.11,9.7,9.7,7.23,32.25,Low
196,23,Female,140,5.32,3,1.47,1.34,0.5,0.5,8.51,74.17,High
197,49,Male,99,8.4,24,3.05,2.1,8.9,8.9,6.53,52.78,Medium
198,21,Male,79,8.44,8,1.18,4.45,5.8,5.8,7.36,44.71,Low
199,28,Male,73,10.02,18,3.29,1.49,5.6,5.6,8.17,62.39,Medium
200,34,Female,80,12.21,29,3.06,1.2,5,5,7.02,65.3,Medium
201,55,Female,93,5.56,22,1.09,1.2,0.7,0.7,8.58,88.61,High
202,41,Female,50,11.08,14,0.4,2.04,0.9,0.9,7.38,51.28,Medium
203,22,Male,107,11,13,0.31,3.47,6,6,8.13,54.89,Medium
204,51,Male,97,5.27,29,3.33,1.19,3.4,3.4,9.14,83,High
205,23,Female,97,11.17,12,4.27,3.36,9.2,9.2,6.38,33.54,Low
206,39,Male,90,7.07,5,0.59,0.02,4.1,4.1,7.09,64.54,Medium
207,28,Male,80,6.32,15,3.14,2.43,1.4,1.4,9.1,72.35,High
208,33,Male,96,13.48,29,1.29,3.32,7.1,7.1,7.29,40.32,Low
209,50,Male,94,13.43,5,2.36,1.52,2.9,2.9,7.3,29.11,Low
210,26,Female,71,8.02,17,4.28,2.08,5.3,5.3,9.5,48.5,Medium
211,23,Male,65,7.55,18,1.21,1.08,7,7,9,82.51,High
212,33,Male,82,10.4,15,2.03,3.03,9,9,8.25,42.09,Low
213,46,Male,118,7.36,19,0.19,0.34,7.9,7.9,8.16,71.48,High
214,20,Male,49,8.33,5,0.31,4.16,6.8,6.8,8.41,63.78,Medium
215,37,Female,43,7.51,22,1.35,0.33,6.8,6.8,7.12,67.68,Medium
216,53,Female,84,7.25,13,0.49,4.23,9.5,9.5,8.02,55.27,Medium
217,36,Male,81,8.33,29,3.03,1.31,3,3,7.03,58.22,Medium
218,43,Male,84,6.58,23,2.26,3,0,0,7.32,59.41,Medium
219,20,Male,86,8.55,21,2.16,1.07,2.7,2.7,7.23,57.62,Medium
220,36,Male,74,12.58,24,0.11,4.44,2.2,2.2,7.08,42.42,Low
221,37,Male,117,9.17,13,1.21,0.22,6.6,6.6,9.5,71.48,High
222,49,Male,39,10.05,18,3.16,0.46,6.3,6.3,5.5,48.28,Medium
223,24,Female,59,12.36,23,4.09,2.39,5.9,5.9,7.2,32.47,Low
224,58,Male,77,6.56,5,0.53,0.11,0.2,0.2,6.23,66.38,Medium
225,50,Female,38,11.5,24,4,0.53,7.3,7.3,7.17,61.36,Medium
226,57,Female,75,11.06,8,2.21,4.11,3.2,3.2,8.09,41.17,Low
227,56,Male,121,12.16,16,2.25,4.45,6.7,6.7,7.32,45.26,Medium
228,35,Female,80,11.2,26,2.55,1.46,5.6,5.6,6.36,47.67,Medium
229,57,Female,85,7.05,20,0.58,4.14,3.4,3.4,7.27,59.57,Medium
230,18,Female,48,13.05,19,0.17,2.4,1.3,1.3,7.09,44.24,Low
231,28,Female,64,7.3,6,3.49,1.18,0.9,0.9,8.08,69.55,Medium
232,45,Female,70,5.13,25,1.13,3.25,8.3,8.3,8.45,83.13,High
233,42,Female,72,9.03,17,4.46,3.51,9.2,9.2,7.18,36.47,Low
234,40,Male,112,7.31,13,2.28,4.28,6.5,6.5,7.34,58.46,Medium
235,48,Female,93,7.57,28,0.11,1.21,1,1,9.5,85.75,High
236,47,Female,52,10.16,5,3.35,3.39,4,4,8.21,48.92,Medium
237,59,Female,86,8.58,5,1.58,0.2,7.3,7.3,6.23,69.99,Medium
238,52,Male,92,7.26,18,2.34,0.5,7.8,7.8,8.46,83.92,High
239,24,Female,108,13.54,7,3.51,0.37,1.2,1.2,6.34,28.55,Low
240,33,Male,119,10.05,23,4.11,5.19,0,0,9.12,57.61,Medium
241,43,Female,54,10.54,12,3.06,4.56,7.1,7.1,6.28,30.88,Low
242,19,Male,59,10.02,21,3.28,3.28,3.6,3.6,7.31,40.6,Low
243,18,Male,48,13.5,27,3.1,2.5,2.5,2.5,7.28,34.19,Low
244,29,Female,74,9.04,6,4.32,1.03,0.1,0.1,9,67.42,Medium
245,22,Female,91,12.39,21,1.05,0.54,5.4,5.4,6.08,49.86,Medium
246,54,Male,104,7.36,13,0.46,1.06,8.5,8.5,7.13,64.95,Medium
247,49,Female,78,9.35,4,1.14,1.27,9.6,9.6,7.12,49.43,Medium
248,26,Male,72,9.23,12,1.31,3.27,5.7,5.7,6.59,47.07,Medium
249,58,Male,83,11.3,13,3.5,2.03,5.1,5.1,8.22,34.72,Low
250,52,Male,59,8.3,27,3.1,0.21,0.9,0.9,8.07,72.36,High
251,36,Male,132,10.01,22,2.57,0.11,5.5,5.5,6.39,54.09,Medium
252,33,Male,39,9.38,18,0.22,0.44,3.8,3.8,8.16,71.14,High
253,20,Female,84,12.38,21,3.25,2.02,6.1,6.1,8.51,40.1,Low
254,37,Male,130,13.1,25,1.33,4.21,3.9,3.9,7.36,36.65,Low
255,41,Male,80,8.01,26,3.45,3.43,2.4,2.4,7.23,67.66,Medium
256,50,Female,75,13.14,13,2.33,4.01,0.9,0.9,6.14,26.66,Low
257,41,Male,71,9.28,16,1.28,2.23,3.1,3.1,9.21,78.87,High
258,28,Female,75,5.51,4,0.03,1.33,1,1,8.1,82.56,High
259,25,Female,114,11.52,25,0.16,0.26,1.8,1.8,9.03,96.55,High
260,53,Female,24,11.38,7,4.34,4.54,9.9,9.9,8.33,42.21,Low
261,55,Male,118,9.55,29,4.12,3.4,4.4,4.4,6.33,42.62,Low
262,57,Male,44,4.15,7,3.4,0,5.3,5.3,8.25,74.78,High
263,37,Male,73,11.05,21,0.38,2.07,8.7,8.7,6.08,87.78,High
264,52,Female,69,13.56,23,2.14,2.22,10,10,6.05,36.78,Low
265,42,Male,94,11.01,14,3.54,3.37,5.8,5.8,7.05,31.93,Low
266,52,Female,40,11.14,20,3.28,4.05,8.1,8.1,6.23,33.55,Low
267,42,Male,91,12.1,6,0.28,2.21,3.3,3.3,8.39,41.05,Low
268,46,Female,130,10.07,24,0.1,2.24,3.1,3.1,6.25,58.58,Medium
269,35,Male,45,12.17,19,3.51,0.17,4,4,8.21,76.84,High
270,35,Male,84,6.5,12,1.31,0.16,6.7,6.7,8.03,66.84,Medium
271,19,Male,63,10.44,22,1.01,0.11,6.8,6.8,8.09,59.05,Medium
272,52,Female,90,10.26,8,0.46,0.05,3.2,3.2,7.09,76.24,High
273,33,Female,80,9.04,27,2.13,3.25,1.3,1.3,8.07,52.25,Medium
274,58,Male,63,8.2,16,4.19,3.26,6.3,6.3,8.35,67.11,Medium
275,53,Male,92,5.03,13,4.21,0.07,1.3,1.3,7.08,63.75,Medium
276,50,Female,125,8.53,13,2.1,4.18,5.8,5.8,7.59,43.99,Low
277,21,Female,75,9.03,20,2.26,0.59,6.9,6.9,7.3,56.43,Medium
278,50,Female,97,8.18,29,0.02,1.41,7,7,7.19,71.06,High
279,31,Male,47,10.19,25,2.16,1,7.5,7.5,7.03,53.93,Medium
280,38,Female,56,10.15,24,1.43,1.56,8.7,8.7,8.39,87.21,High
281,37,Male,91,9.21,20,3.55,1.28,5,5,8.26,73.93,High
282,25,Female,117,12.48,26,1.27,2.44,7.3,7.3,7.16,45.26,Medium
283,24,Male,88,9.11,25,1.28,2.48,6.2,6.2,8.4,56.92,Medium
284,20,Female,72,11.04,13,0.2,4.34,1.9,1.9,7.14,73.69,High
285,34,Female,79,11,23,1.46,0.39,0.3,0.3,8.56,54.76,Medium
286,50,Female,48,8.04,14,0.15,0.13,2.8,2.8,6.3,81.09,High
287,29,Female,95,7.13,7,0.36,0.34,4.4,4.4,7.31,65.33,Medium
288,39,Female,102,9.2,25,4.58,3.47,6.2,6.2,9.02,64.69,Medium
289,39,Male,68,10.36,11,2.19,0.44,8.5,8.5,7.17,47.61,Medium
290,47,Female,68,11.06,29,2.05,4.19,2,2,7.04,50.46,Medium
291,55,Female,86,9.27,27,4.18,2.55,1.3,1.3,8.23,66.71,Medium
292,55,Female,69,12.12,11,4.56,2.48,9.6,9.6,6.29,24.82,Low
293,25,Male,78,9.54,24,2.04,2.12,1.1,1.1,7.07,64.21,Medium
294,44,Female,132,5.14,12,4.02,0.37,4.8,4.8,8.58,63.92,Medium
295,44,Male,73,6.23,24,1.58,0.48,5.9,5.9,8.44,86.31,High
296,51,Female,71,4.05,21,1,1.45,5.4,5.4,7.34,77.78,High
297,38,Female,63,6.2,3,2.57,2.48,0.9,0.9,9,67.93,Medium
298,47,Male,98,11,9,3.59,1.07,0.6,0.6,7.46,45.35,Medium
299,50,Female,75,11.09,6,3.37,0.42,1.1,1.1,7.49,37.43,Low
300,45,Male,63,8.04,3,1.14,4.19,5.9,5.9,8.2,44.54,Low
301,50,Male,113,3.22,17,0.33,0.59,5.4,5.4,7.35,84.24,High
302,22,Female,115,8.41,10,3.34,4.32,2.3,2.3,8.29,64.05,Medium
303,36,Male,64,4.48,14,0.48,3.25,6.4,6.4,8.58,72.91,High
304,21,Female,33,6.01,24,2.24,1.38,8.2,8.2,8.09,67.19,Medium
305,52,Female,105,10.12,24,3.23,0.2,0.4,0.4,7.37,51.69,Medium
306,34,Male,62,4.38,20,3.11,0.52,5,5,8.09,73.76,High
307,45,Male,99,10.01,17,3.17,3.48,6.9,6.9,8.02,38.38,Low
308,47,Male,30,12.19,19,4.14,3.41,2.5,2.5,6.2,27.59,Low
309,46,Male,102,7,16,2.43,3.42,3.1,3.1,8.04,55.84,Medium
310,23,Female,49,11.36,16,3.15,4.53,6.1,6.1,7.03,29.69,Low
311,52,Female,98,8.08,20,3.26,3.4,9,9,7.11,46.89,Medium
312,58,Male,80,9.16,22,0.07,0.08,8.1,8.1,8.01,67.78,Medium
313,54,Female,56,7.08,20,0.59,1.23,5.8,5.8,8.1,68.56,Medium
314,41,Female,69,7.1,18,1.45,4.36,7.3,7.3,8.09,54.01,Medium
315,46,Female,97,8.52,3,2.24,1.48,3.6,3.6,9.32,62.74,Medium
316,48,Female,82,4.23,25,3.16,0.4,6.4,6.4,8.28,73.47,High
317,52,Male,94,8.19,29,4.28,3.16,4.7,4.7,8.39,61.69,Medium
318,50,Male,129,11.21,13,0.52,2.23,1.9,1.9,7.37,56.7,Medium
319,38,Female,40,7.56,17,0.07,4.2,7,7,8.41,77.21,High
320,49,Male,120,12.29,14,4.14,3.5,5.6,5.6,6.55,24.32,Low
321,40,Male,82,11.3,10,0.26,0.58,3.6,3.6,7.03,54.95,Medium
322,50,Male,57,10.22,24,2.45,4.38,9.1,9.1,8,55.17,Medium
323,20,Female,46,5.18,22,2.49,1.54,0.2,0.2,7.39,75.48,High
324,35,Female,75,12.59,8,2.51,1.4,3.2,3.2,8.29,33.51,Low
325,42,Female,103,11.43,5,0.06,2.38,0.6,0.6,6.38,43.37,Low
326,59,Male,76,10.49,26,0.02,0.12,7.7,7.7,6.36,65.08,Medium
327,48,Female,117,5.5,28,0.28,2.1,7,7,9.21,82.13,High
328,20,Female,43,6.52,15,2.43,0.45,3.3,3.3,8.16,62.74,Medium
329,57,Male,79,8.17,15,2.52,2.18,6.8,6.8,9.02,71.48,High
